session_id,initiator_id,responder_id,true_distance_m,measured_distance_m,direction
256986549,C001,C003,1.865,1.782,C001->C003
256986549,C003,C001,1.865,1.726,C003->C001
256986549,C002,C003,2.18,2.13,C002->C003
256986549,C003,C002,2.18,2.115,C003->C002
256986549,C002,C001,1.475,1.426,C002->C001
256986549,C001,C003,1.865,1.7730000000000001,C001->C003
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.13,C002->C003
256986549,C003,C002,2.18,2.172,C003->C002
256986549,C002,C001,1.475,1.477,C002->C001
256986549,C003,C001,1.865,1.778,C003->C001
256986549,C002,C003,2.18,2.148,C002->C003
256986549,C003,C002,2.18,2.111,C003->C002
256986549,C001,C002,1.475,1.445,C001->C002
256986549,C002,C001,1.475,1.468,C002->C001
256986549,C001,C003,1.865,1.764,C001->C003
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.04,C002->C003
256986549,C003,C002,2.18,2.045,C003->C002
256986549,C001,C002,1.475,1.435,C001->C002
256986549,C002,C001,1.475,1.426,C002->C001
256986549,C001,C003,1.865,1.75,C001->C003
256986549,C003,C001,1.865,1.768,C003->C001
256986549,C002,C003,2.18,2.12,C002->C003
256986549,C003,C002,2.18,2.059,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.482,C002->C001
256986549,C003,C001,1.865,1.768,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.036,C003->C002
256986549,C001,C002,1.475,1.477,C001->C002
256986549,C002,C001,1.475,1.473,C002->C001
256986549,C003,C001,1.865,1.75,C003->C001
256986549,C002,C003,2.18,2.031,C002->C003
256986549,C003,C002,2.18,2.064,C003->C002
256986549,C001,C002,1.475,1.473,C001->C002
256986549,C002,C001,1.475,1.449,C002->C001
256986549,C003,C001,1.865,1.7730000000000001,C003->C001
256986549,C002,C003,2.18,1.933,C002->C003
256986549,C003,C002,2.18,1.961,C003->C002
256986549,C001,C002,1.475,1.468,C001->C002
256986549,C002,C001,1.475,1.477,C002->C001
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,1.993,C002->C003
256986549,C003,C002,2.18,2.031,C003->C002
256986549,C001,C002,1.475,1.496,C001->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C001,C003,1.865,1.74,C001->C003
256986549,C003,C001,1.865,1.745,C003->C001
256986549,C002,C003,2.18,2.008,C002->C003
256986549,C003,C002,2.18,2.05,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.468,C002->C001
256986549,C001,C003,1.865,1.735,C001->C003
256986549,C003,C001,1.865,1.735,C003->C001
256986549,C002,C003,2.18,2.327,C002->C003
256986549,C003,C002,2.18,2.505,C003->C002
256986549,C001,C002,1.475,1.454,C001->C002
256986549,C002,C001,1.475,1.445,C002->C001
256986549,C001,C003,1.865,1.745,C001->C003
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,1.942,C002->C003
256986549,C003,C002,2.18,1.984,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C003,C001,1.865,1.745,C003->C001
256986549,C002,C003,2.18,1.97,C002->C003
256986549,C003,C002,2.18,1.933,C003->C002
256986549,C001,C002,1.475,1.454,C001->C002
256986549,C002,C001,1.475,1.473,C002->C001
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,1.9000000000000001,C002->C003
256986549,C003,C002,2.18,1.937,C003->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C003,C001,1.865,1.778,C003->C001
256986549,C002,C003,2.18,1.937,C002->C003
256986549,C003,C002,2.18,1.956,C003->C002
256986549,C001,C002,1.475,1.468,C001->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.05,C002->C003
256986549,C003,C002,2.18,2.0220000000000002,C003->C002
256986549,C001,C002,1.475,1.473,C001->C002
256986549,C002,C001,1.475,1.449,C002->C001
256986549,C001,C003,1.865,1.764,C001->C003
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,2.054,C002->C003
256986549,C003,C002,2.18,2.083,C003->C002
256986549,C001,C002,1.475,1.482,C001->C002
256986549,C002,C001,1.475,1.477,C002->C001
256986549,C001,C003,1.865,1.735,C001->C003
256986549,C003,C001,1.865,1.7730000000000001,C003->C001
256986549,C002,C003,2.18,2.195,C002->C003
256986549,C003,C002,2.18,2.045,C003->C002
256986549,C001,C002,1.475,1.459,C001->C002
256986549,C002,C001,1.475,1.459,C002->C001
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.134,C002->C003
256986549,C003,C002,2.18,2.101,C003->C002
256986549,C002,C001,1.475,1.477,C002->C001
256986549,C001,C003,1.865,1.754,C001->C003
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.073,C002->C003
256986549,C003,C002,2.18,2.078,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C001,C003,1.865,1.735,C001->C003
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.1390000000000002,C002->C003
256986549,C003,C002,2.18,2.1390000000000002,C003->C002
256986549,C001,C002,1.475,1.449,C001->C002
256986549,C002,C001,1.475,1.487,C002->C001
256986549,C001,C003,1.865,1.754,C001->C003
256986549,C003,C001,1.865,1.735,C003->C001
256986549,C002,C003,2.18,2.101,C002->C003
256986549,C003,C002,2.18,2.115,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.491,C002->C001
256986549,C001,C003,1.865,1.764,C001->C003
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.115,C003->C002
256986549,C001,C002,1.475,1.52,C001->C002
256986549,C002,C001,1.475,1.482,C002->C001
256986549,C001,C003,1.865,1.754,C001->C003
256986549,C003,C001,1.865,1.782,C003->C001
256986549,C002,C003,2.18,2.144,C002->C003
256986549,C003,C002,2.18,2.153,C003->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C001,C003,1.865,1.768,C001->C003
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,2.125,C002->C003
256986549,C003,C002,2.18,2.115,C003->C002
256986549,C002,C001,1.475,1.468,C002->C001
256986549,C003,C001,1.865,1.726,C003->C001
256986549,C002,C003,2.18,2.125,C002->C003
256986549,C003,C002,2.18,2.106,C003->C002
256986549,C001,C002,1.475,1.477,C001->C002
256986549,C002,C001,1.475,1.454,C002->C001
256986549,C001,C003,1.865,1.7590000000000001,C001->C003
256986549,C003,C001,1.865,1.726,C003->C001
256986549,C002,C003,2.18,2.101,C002->C003
256986549,C003,C002,2.18,2.101,C003->C002
256986549,C001,C002,1.475,1.454,C001->C002
256986549,C002,C001,1.475,1.487,C002->C001
256986549,C001,C003,1.865,1.75,C001->C003
256986549,C003,C001,1.865,1.75,C003->C001
256986549,C002,C003,2.18,2.111,C002->C003
256986549,C003,C002,2.18,2.12,C003->C002
256986549,C002,C001,1.475,1.449,C002->C001
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.144,C002->C003
256986549,C003,C002,2.18,2.13,C003->C002
256986549,C002,C001,1.475,1.468,C002->C001
256986549,C001,C003,1.865,1.735,C001->C003
256986549,C003,C001,1.865,1.745,C003->C001
256986549,C002,C003,2.18,2.111,C002->C003
256986549,C003,C002,2.18,2.111,C003->C002
256986549,C001,C002,1.475,1.51,C001->C002
256986549,C002,C001,1.475,1.454,C002->C001
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,2.125,C002->C003
256986549,C003,C002,2.18,2.12,C003->C002
256986549,C001,C002,1.475,1.487,C001->C002
256986549,C002,C001,1.475,1.449,C002->C001
256986549,C001,C003,1.865,1.7590000000000001,C001->C003
256986549,C003,C001,1.865,1.745,C003->C001
256986549,C002,C003,2.18,2.13,C002->C003
256986549,C003,C002,2.18,2.106,C003->C002
256986549,C001,C002,1.475,1.449,C001->C002
256986549,C002,C001,1.475,1.459,C002->C001
256986549,C003,C001,1.865,1.726,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.12,C003->C002
256986549,C001,C002,1.475,1.468,C001->C002
256986549,C002,C001,1.475,1.449,C002->C001
256986549,C001,C003,1.865,1.745,C001->C003
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.106,C002->C003
256986549,C003,C002,2.18,2.097,C003->C002
256986549,C001,C002,1.475,1.445,C001->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C001,C003,1.865,1.731,C001->C003
256986549,C003,C001,1.865,1.721,C003->C001
256986549,C002,C003,2.18,2.111,C002->C003
256986549,C003,C002,2.18,2.097,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C001,C003,1.865,1.745,C001->C003
256986549,C003,C001,1.865,1.7730000000000001,C003->C001
256986549,C002,C003,2.18,2.087,C002->C003
256986549,C003,C002,2.18,2.106,C003->C002
256986549,C002,C001,1.475,1.51,C002->C001
256986549,C003,C001,1.865,1.721,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.097,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C003,C001,1.865,1.7730000000000001,C003->C001
256986549,C002,C003,2.18,2.101,C002->C003
256986549,C003,C002,2.18,2.087,C003->C002
256986549,C001,C002,1.475,1.473,C001->C002
256986549,C002,C001,1.475,1.477,C002->C001
256986549,C001,C003,1.865,1.764,C001->C003
256986549,C003,C001,1.865,1.768,C003->C001
256986549,C003,C002,2.18,2.087,C003->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C001,C003,1.865,1.703,C001->C003
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,2.101,C002->C003
256986549,C003,C002,2.18,2.078,C003->C002
256986549,C001,C002,1.475,1.482,C001->C002
256986549,C002,C001,1.475,1.449,C002->C001
256986549,C001,C003,1.865,1.75,C001->C003
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.106,C002->C003
256986549,C003,C002,2.18,2.087,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.491,C002->C001
256986549,C001,C003,1.865,1.731,C001->C003
256986549,C003,C001,1.865,1.778,C003->C001
256986549,C002,C003,2.18,2.106,C002->C003
256986549,C003,C002,2.18,2.087,C003->C002
256986549,C001,C002,1.475,1.496,C001->C002
256986549,C002,C001,1.475,1.5010000000000001,C002->C001
256986549,C003,C001,1.865,1.768,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.106,C003->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C003,C001,1.865,1.75,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.12,C003->C002
256986549,C001,C002,1.475,1.468,C001->C002
256986549,C002,C001,1.475,1.468,C002->C001
256986549,C003,C001,1.865,1.745,C003->C001
256986549,C002,C003,2.18,2.111,C002->C003
256986549,C003,C002,2.18,2.087,C003->C002
256986549,C001,C002,1.475,1.51,C001->C002
256986549,C002,C001,1.475,1.5010000000000001,C002->C001
256986549,C001,C003,1.865,1.721,C001->C003
256986549,C003,C001,1.865,1.782,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.12,C003->C002
256986549,C002,C001,1.475,1.506,C002->C001
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.12,C002->C003
256986549,C003,C002,2.18,2.092,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.473,C002->C001
256986549,C003,C001,1.865,1.745,C003->C001
256986549,C002,C003,2.18,2.12,C002->C003
256986549,C003,C002,2.18,2.111,C003->C002
256986549,C001,C002,1.475,1.468,C001->C002
256986549,C002,C001,1.475,1.5150000000000001,C002->C001
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.083,C002->C003
256986549,C003,C002,2.18,2.125,C003->C002
256986549,C001,C002,1.475,1.477,C001->C002
256986549,C002,C001,1.475,1.506,C002->C001
256986549,C001,C003,1.865,1.7590000000000001,C001->C003
256986549,C003,C001,1.865,1.745,C003->C001
256986549,C002,C003,2.18,2.087,C002->C003
256986549,C003,C002,2.18,2.111,C003->C002
256986549,C001,C002,1.475,1.487,C001->C002
256986549,C002,C001,1.475,1.487,C002->C001
256986549,C003,C001,1.865,1.778,C003->C001
256986549,C002,C003,2.18,2.101,C002->C003
256986549,C003,C002,2.18,2.101,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.51,C002->C001
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.12,C003->C002
256986549,C001,C002,1.475,1.482,C001->C002
256986549,C002,C001,1.475,1.52,C002->C001
256986549,C001,C003,1.865,1.7590000000000001,C001->C003
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.106,C002->C003
256986549,C003,C002,2.18,2.101,C003->C002
256986549,C001,C002,1.475,1.477,C001->C002
256986549,C002,C001,1.475,1.482,C002->C001
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,2.12,C002->C003
256986549,C003,C002,2.18,2.092,C003->C002
256986549,C002,C001,1.475,1.482,C002->C001
256986549,C001,C003,1.865,1.75,C001->C003
256986549,C003,C001,1.865,1.7870000000000001,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.125,C003->C002
256986549,C001,C002,1.475,1.473,C001->C002
256986549,C002,C001,1.475,1.477,C002->C001
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.101,C002->C003
256986549,C003,C002,2.18,2.092,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.473,C002->C001
256986549,C001,C003,1.865,1.75,C001->C003
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.087,C002->C003
256986549,C003,C002,2.18,2.134,C003->C002
256986549,C001,C002,1.475,1.482,C001->C002
256986549,C002,C001,1.475,1.496,C002->C001
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.101,C002->C003
256986549,C003,C002,2.18,2.106,C003->C002
256986549,C001,C002,1.475,1.487,C001->C002
256986549,C002,C001,1.475,1.468,C002->C001
256986549,C001,C003,1.865,1.754,C001->C003
256986549,C003,C001,1.865,1.75,C003->C001
256986549,C002,C003,2.18,2.13,C002->C003
256986549,C003,C002,2.18,2.092,C003->C002
256986549,C001,C002,1.475,1.463,C001->C002
256986549,C002,C001,1.475,1.477,C002->C001
256986549,C001,C003,1.865,1.768,C001->C003
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.106,C003->C002
256986549,C001,C002,1.475,1.463,C001->C002
256986549,C002,C001,1.475,1.482,C002->C001
256986549,C003,C001,1.865,1.75,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.115,C003->C002
256986549,C001,C002,1.475,1.534,C001->C002
256986549,C002,C001,1.475,1.482,C002->C001
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,2.106,C002->C003
256986549,C003,C002,2.18,2.115,C003->C002
256986549,C001,C002,1.475,1.548,C001->C002
256986549,C002,C001,1.475,1.506,C002->C001
256986549,C003,C001,1.865,1.75,C003->C001
256986549,C003,C002,2.18,2.106,C003->C002
256986549,C001,C002,1.475,1.473,C001->C002
256986549,C002,C001,1.475,1.496,C002->C001
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.115,C003->C002
256986549,C001,C002,1.475,1.487,C001->C002
256986549,C002,C001,1.475,1.477,C002->C001
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.12,C003->C002
256986549,C001,C002,1.475,1.473,C001->C002
256986549,C002,C001,1.475,1.496,C002->C001
256986549,C001,C003,1.865,1.74,C001->C003
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.125,C003->C002
256986549,C001,C002,1.475,1.473,C001->C002
256986549,C002,C001,1.475,1.482,C002->C001
256986549,C001,C003,1.865,1.754,C001->C003
256986549,C003,C001,1.865,1.735,C003->C001
256986549,C002,C003,2.18,2.087,C002->C003
256986549,C003,C002,2.18,2.125,C003->C002
256986549,C002,C001,1.475,1.477,C002->C001
256986549,C001,C003,1.865,1.754,C001->C003
256986549,C003,C001,1.865,1.745,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.125,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.5010000000000001,C002->C001
256986549,C003,C001,1.865,1.768,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.111,C003->C002
256986549,C001,C002,1.475,1.496,C001->C002
256986549,C002,C001,1.475,1.487,C002->C001
256986549,C003,C001,1.865,1.731,C003->C001
256986549,C002,C003,2.18,2.111,C002->C003
256986549,C003,C002,2.18,2.101,C003->C002
256986549,C001,C002,1.475,1.496,C001->C002
256986549,C002,C001,1.475,1.51,C002->C001
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.125,C002->C003
256986549,C003,C002,2.18,2.097,C003->C002
256986549,C001,C002,1.475,1.459,C001->C002
256986549,C002,C001,1.475,1.482,C002->C001
256986549,C001,C003,1.865,1.731,C001->C003
256986549,C003,C001,1.865,1.75,C003->C001
256986549,C002,C003,2.18,2.101,C002->C003
256986549,C003,C002,2.18,2.111,C003->C002
256986549,C002,C001,1.475,1.473,C002->C001
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.087,C002->C003
256986549,C003,C002,2.18,2.115,C003->C002
256986549,C002,C001,1.475,1.487,C002->C001
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.115,C002->C003
256986549,C003,C002,2.18,2.092,C003->C002
256986549,C001,C002,1.475,1.496,C001->C002
256986549,C002,C001,1.475,1.477,C002->C001
256986549,C001,C003,1.865,1.754,C001->C003
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.134,C002->C003
256986549,C003,C002,2.18,2.111,C003->C002
256986549,C001,C002,1.475,1.477,C001->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.087,C002->C003
256986549,C003,C002,2.18,2.12,C003->C002
256986549,C001,C002,1.475,1.496,C001->C002
256986549,C002,C001,1.475,1.5010000000000001,C002->C001
256986549,C001,C003,1.865,1.75,C001->C003
256986549,C003,C001,1.865,1.731,C003->C001
256986549,C002,C003,2.18,2.13,C002->C003
256986549,C003,C002,2.18,2.092,C003->C002
256986549,C001,C002,1.475,1.487,C001->C002
256986549,C002,C001,1.475,1.491,C002->C001
256986549,C003,C001,1.865,1.731,C003->C001
256986549,C002,C003,2.18,2.087,C002->C003
256986549,C003,C002,2.18,2.12,C003->C002
256986549,C001,C002,1.475,1.468,C001->C002
256986549,C002,C001,1.475,1.534,C002->C001
256986549,C001,C003,1.865,1.792,C001->C003
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.12,C002->C003
256986549,C003,C002,2.18,2.097,C003->C002
256986549,C001,C002,1.475,1.468,C001->C002
256986549,C002,C001,1.475,1.51,C002->C001
256986549,C001,C003,1.865,1.745,C001->C003
256986549,C003,C001,1.865,1.768,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.106,C003->C002
256986549,C001,C002,1.475,1.487,C001->C002
256986549,C002,C001,1.475,1.5010000000000001,C002->C001
256986549,C001,C003,1.865,1.745,C001->C003
256986549,C003,C001,1.865,1.745,C003->C001
256986549,C002,C003,2.18,2.106,C002->C003
256986549,C003,C002,2.18,2.125,C003->C002
256986549,C001,C002,1.475,1.543,C001->C002
256986549,C002,C001,1.475,1.468,C002->C001
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.134,C002->C003
256986549,C003,C002,2.18,2.097,C003->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C001,C003,1.865,1.7590000000000001,C001->C003
256986549,C003,C001,1.865,1.735,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.101,C003->C002
256986549,C001,C002,1.475,1.506,C001->C002
256986549,C002,C001,1.475,1.506,C002->C001
256986549,C001,C003,1.865,1.74,C001->C003
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.13,C003->C002
256986549,C002,C001,1.475,1.487,C002->C001
256986549,C001,C003,1.865,1.7730000000000001,C001->C003
256986549,C003,C001,1.865,1.75,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.125,C003->C002
256986549,C001,C002,1.475,1.5010000000000001,C001->C002
256986549,C002,C001,1.475,1.468,C002->C001
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.125,C002->C003
256986549,C003,C002,2.18,2.115,C003->C002
256986549,C001,C002,1.475,1.506,C001->C002
256986549,C002,C001,1.475,1.473,C002->C001
256986549,C003,C001,1.865,1.75,C003->C001
256986549,C002,C003,2.18,2.13,C002->C003
256986549,C003,C002,2.18,2.111,C003->C002
256986549,C001,C002,1.475,1.496,C001->C002
256986549,C002,C001,1.475,1.5010000000000001,C002->C001
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.13,C002->C003
256986549,C003,C002,2.18,2.111,C003->C002
256986549,C002,C001,1.475,1.473,C002->C001
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,2.12,C002->C003
256986549,C003,C002,2.18,2.115,C003->C002
256986549,C001,C002,1.475,1.52,C001->C002
256986549,C002,C001,1.475,1.496,C002->C001
256986549,C001,C003,1.865,1.768,C001->C003
256986549,C003,C001,1.865,1.735,C003->C001
256986549,C002,C003,2.18,2.115,C002->C003
256986549,C003,C002,2.18,2.13,C003->C002
256986549,C001,C002,1.475,1.496,C001->C002
256986549,C002,C001,1.475,1.51,C002->C001
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.115,C003->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.092,C003->C002
256986549,C002,C001,1.475,1.463,C002->C001
256986549,C001,C003,1.865,1.764,C001->C003
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.134,C002->C003
256986549,C003,C002,2.18,2.12,C003->C002
256986549,C002,C001,1.475,1.5010000000000001,C002->C001
256986549,C003,C001,1.865,1.717,C003->C001
256986549,C002,C003,2.18,2.087,C002->C003
256986549,C003,C002,2.18,2.097,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.477,C002->C001
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.106,C002->C003
256986549,C003,C002,2.18,2.087,C003->C002
256986549,C001,C002,1.475,1.459,C001->C002
256986549,C002,C001,1.475,1.473,C002->C001
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.111,C002->C003
256986549,C003,C002,2.18,2.13,C003->C002
256986549,C001,C002,1.475,1.496,C001->C002
256986549,C002,C001,1.475,1.52,C002->C001
256986549,C001,C003,1.865,1.735,C001->C003
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,2.101,C002->C003
256986549,C003,C002,2.18,2.115,C003->C002
256986549,C001,C002,1.475,1.496,C001->C002
256986549,C002,C001,1.475,1.496,C002->C001
256986549,C003,C001,1.865,1.735,C003->C001
256986549,C002,C003,2.18,2.111,C002->C003
256986549,C003,C002,2.18,2.101,C003->C002
256986549,C001,C002,1.475,1.468,C001->C002
256986549,C002,C001,1.475,1.52,C002->C001
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.106,C003->C002
256986549,C001,C002,1.475,1.506,C001->C002
256986549,C002,C001,1.475,1.459,C002->C001
256986549,C001,C003,1.865,1.745,C001->C003
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,2.134,C002->C003
256986549,C003,C002,2.18,2.13,C003->C002
256986549,C001,C002,1.475,1.487,C001->C002
256986549,C002,C001,1.475,1.477,C002->C001
256986549,C001,C003,1.865,1.7730000000000001,C001->C003
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.115,C002->C003
256986549,C003,C002,2.18,2.092,C003->C002
256986549,C002,C001,1.475,1.491,C002->C001
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.083,C002->C003
256986549,C003,C002,2.18,2.087,C003->C002
256986549,C001,C002,1.475,1.477,C001->C002
256986549,C002,C001,1.475,1.491,C002->C001
256986549,C001,C003,1.865,1.731,C001->C003
256986549,C003,C001,1.865,1.735,C003->C001
256986549,C002,C003,2.18,2.097,C002->C003
256986549,C003,C002,2.18,2.106,C003->C002
256986549,C001,C002,1.475,1.51,C001->C002
256986549,C002,C001,1.475,1.482,C002->C001
256986549,C001,C003,1.865,1.7590000000000001,C001->C003
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.125,C002->C003
256986549,C003,C002,2.18,2.13,C003->C002
256986549,C002,C001,1.475,1.496,C002->C001
256986549,C003,C001,1.865,1.7590000000000001,C003->C001
256986549,C002,C003,2.18,2.12,C002->C003
256986549,C003,C002,2.18,2.111,C003->C002
256986549,C001,C002,1.475,1.473,C001->C002
256986549,C002,C001,1.475,1.468,C002->C001
256986549,C003,C001,1.865,1.764,C003->C001
256986549,C002,C003,2.18,2.101,C002->C003
256986549,C003,C002,2.18,2.097,C003->C002
256986549,C001,C002,1.475,1.506,C001->C002
256986549,C002,C001,1.475,1.482,C002->C001
256986549,C003,C001,1.865,1.74,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.092,C003->C002
256986549,C001,C002,1.475,1.491,C001->C002
256986549,C002,C001,1.475,1.5150000000000001,C002->C001
256986549,C001,C003,1.865,1.7730000000000001,C001->C003
256986549,C003,C001,1.865,1.735,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.087,C003->C002
256986549,C001,C002,1.475,1.482,C001->C002
256986549,C002,C001,1.475,1.459,C002->C001
256986549,C001,C003,1.865,1.75,C001->C003
256986549,C003,C001,1.865,1.754,C003->C001
256986549,C002,C003,2.18,2.092,C002->C003
256986549,C003,C002,2.18,2.092,C003->C002
256986549,C001,C002,1.475,1.506,C001->C002
256986549,C002,C001,1.475,1.487,C002->C001
